issue_number,buggy_generated,fixed_generated,buggy_syntax_valid,fixed_syntax_valid,buggy_execution_status,fixed_execution_status,reconstruction_status,notes,case_dir,issue_id,platform,api_era,bug_summary,fix_summary,pair_similarity,buggy_lines,fixed_lines,provider,model,cached,repair_rounds,input_tokens,output_tokens,source_truncated_fields
38,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: 1 duplicate block(s) removed | BUGGY CODE: contains prose rather than code | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: contains prose rather than code | model flagged for review: Scraped content contained no runnable code, only error text and library names, so the reconstruction is inferred entirely from the explanation. | flagged during reconstruction: Scraped content contained no runnable code, only error text and library names, so the reconstruction is inferred entirely from the explanation.",issue_038_se,6695,SE,legacy,Using the deprecated IBMQuantumExperience library directly to query account/credits raises a CredentialsError because the license can no longer be accepted through that old interface.,Switch to the qiskit-ibmq-provider (qiskit.IBMQ) interface for account management; note that credit-checking functionality no longer exists in the new platform.,0.2196,10,10,anthropic,claude-sonnet-5,False,0,1903,794,
71,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: 2 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | model flagged for review: The scraped case is a conceptual Q&A with no real bug in the code; buggy and fixed code are identical since the ""fix"" is an explanation, not a code correction | buggy.py and fixed.py are identical; not a usable APR pair",issue_071,33788,SE,legacy,No actual code defect; asker misunderstood whether equiprobable states equal superposition states after applying H on both qubits,"Answer clarifies that the given code (H on qubit0 and qubit1) already produces an equiprobable superposition state, so no code change is needed",1.0,4,4,anthropic,claude-sonnet-5,False,0,2451,915,
161,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,BUGGY CODE: 1 duplicate block(s) removed | FIXED CODE: 2 duplicate block(s) removed | FIXED CODE: contains prose rather than code | model flagged for review: Source material is a general-knowledge Q&A with no reproducible bug/fix; reconstruction is a conservative placeholder based on the version-info snippet and explanatory comments. | flagged during reconstruction: Source material is a general-knowledge Q&A with no reproducible bug/fix; reconstruction is a conservative placeholder based on the version-info snippet and explanatory comments.,issue_161,28239,SE,legacy,"No actual bug; question asks about the purpose of the various qiskit sub-packages, code just prints qiskit.__qiskit_version__.",Answer adds explanatory comments describing the role of each qiskit sub-package; no code logic change.,0.5062,6,16,anthropic,claude-sonnet-5,False,0,2427,778,
29,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: contains prose rather than code | FIXED CODE: contains prose rather than code | model flagged for review: original question/answer content is shell commands and prose (pip3 install qiskit / !pip3 install qiskit), not executable Python code, so the reconstruction infers a plausible scaffolding rather than literal source | flagged during reconstruction: original question/answer content is shell commands and prose (pip3 install qiskit / !pip3 install qiskit), not executable Python code, so the reconstruction infers a plausible scaffolding rather than literal source",issue_029_so,57198794,SO,unknown,"qiskit installed via terminal pip3 targets a different Python environment than the one used by the Jupyter kernel, causing ModuleNotFoundError on import",install qiskit using the same interpreter/environment as the Jupyter kernel (equivalent to running the install command from within the notebook itself),0.3041,10,10,anthropic,claude-sonnet-5,False,0,1546,2502,
1,True,True,True,True,SKIPPED_NETWORK,ERROR:ModuleNotFoundError,VERSION_INCOMPATIBLE,fixed.py needs an API absent from the installed Qiskit (ModuleNotFoundError),issue_001,34694,SE,legacy,"Runtime Estimator groups commuting Paulis, so a 16-term Hamiltonian costs the same as a 1-term one and the expected 16x slowdown never appears",use the Aer Estimator with abelian_grouping disabled so each Pauli term is measured separately and runtime scales with term count,0.8367,34,29,claude-code-agent,claude-code-session,False,0,0,0,
2,True,True,True,True,OK,OK,SUCCESS,both programs run; defect is semantic rather than fatal,issue_002,33793,SE,modern,"qubit count computed by summing every register passed to the constructor, which wrongly includes the 2-bit classical register and yields 14","read QuantumCircuit.num_qubits, which counts only quantum registers and yields 12",0.9162,7,7,claude-code-agent,claude-code-session,False,0,0,0,
3,True,True,True,True,ERROR:MemoryError,OK,SUCCESS_WITH_EXPECTED_BUG,"buggy.py fails with MemoryError, consistent with the case",issue_003,41068,SE,modern,Statevector(circuit) builds the 2**20 x 2**20 unitary of the Initialize instruction and asks numpy for 8 TiB,wrap the amplitude array directly with Statevector(new_state) instead of asking Statevector to represent the circuit,0.9789,11,11,claude-code-agent,claude-code-session,False,0,0,0,
5,True,True,True,True,ERROR:ImportError,ERROR:ModuleNotFoundError,NEEDS_REVIEW,"source cell hit the Excel 32767-char limit and is truncated: fixed_code, fixed_solution_explanation | flagged during reconstruction: the source row carries no actual program; buggy_code is only the two fragments ""qiskit.providers"" and ""qiskit.utils"", and the solution explanation is truncated at the Excel cell limit. This is a minimal stand-in for the migration pattern the question describes, not a reconstruction of the asker's Sh",issue_005_se,40286,SE,legacy,"Qiskit 0.x execution path imports qiskit.utils.QuantumInstance and qiskit.providers.aer, both removed in Qiskit 1.x","run the circuit directly on qiskit_aer.AerSimulator with transpile, the 1.x replacement for QuantumInstance",0.265,10,8,claude-code-agent,claude-code-session,False,0,0,0,fixed_code|fixed_solution_explanation
7,True,True,True,True,ERROR:TypeError,OK,SUCCESS_WITH_EXPECTED_BUG,"buggy.py fails with TypeError, consistent with the case",issue_007,8304,SE,unknown,"the Result object is handed straight to file.write, and the ASCII repr it stands for cannot be turned back into a Result",serialise res.to_dict() and rebuild the Result from the parsed mapping instead of from the repr,0.8666,23,27,claude-code-agent,claude-code-session,False,0,0,0,
10,True,True,True,True,OK,OK,NEEDS_REVIEW,"flagged during reconstruction: the source row contains no program. buggy_code is only the fragments ""experiments"" and ""list[QuantumCircuit]"", and the answer is prose about qiskit.execute_function using a parallel map. This is a minimal stand-in for the ordering hazard the answer describes, not the asker's code.",issue_010_se,27454,SE,unknown,"results collected in completion order are zipped against the submission-ordered circuit list, pairing each circuit with another circuit's result",index each future back to its submission position so results are restored to input order before pairing,0.6125,14,16,claude-code-agent,claude-code-session,False,0,0,0,
